date,name,event,location,location_link,organizer,status,reg_type,entry_fee,players,tags
12/20/2024 1:00 AM CEST,Legends Great Mall Weekly Lorcana,https://melee.gg/Tournament/View/153896,"447 Great Mall DrUnit 406Milpitas, CA 95035US",https://www.google.com/maps/dir/?api=1&destination=447%20Great%20Mall%20Dr%2C%20Milpitas%2C%20CA%2095035,Legends Comics & Games LLC,Registration,Open Registration,,0,"['Core', 'Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/20/2024 12:45 AM CEST,Disney Lorcana Locals! Constructed Tournament,https://melee.gg/Tournament/View/167631,"2285 Whitney AveSuite 4Hamden, CT 06518US",https://www.google.com/maps/dir/?api=1&destination=2285%20Whitney%20Ave%2C%20Hamden%2C%20CT%2006518,Unison Games Cafe,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/20/2024 12:30 AM CEST,Disney Lorcana Thursday Weekly,https://melee.gg/Tournament/View/153963,"315 Fayette StreetSuite 3Manlius, NY 13104US",https://www.google.com/maps/dir/?api=1&destination=315%20Fayette%20Street%2C%20Manlius%2C%20NY%2013104,Unplugged Game Store,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/19/2024 9:00 AM CEST,2024-12-19 Ozzie Collectables Thursday Lorcana Locals,https://melee.gg/Tournament/View/163945,"2A/50 Princes HwyEumemmering, Vic 3177AU",https://www.google.com/maps/dir/?api=1&destination=2A%2F50%20Princes%20Hwy%2C%20Eumemmering%2C%20Vic%203177,Ozzie Collectables,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/19/2024 1:00 AM CEST,Weekly Lorcana at Tabletop Gaming Center,https://melee.gg/Tournament/View/150817,"741 New Britain AveNewington, CT 06111US",https://www.google.com/maps/dir/?api=1&destination=741%20New%20Britain%20Ave%2C%20Newington%2C%20CT%2006111,Tabletop Gaming Center,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/18/2024 12:00 AM CEST,Easton Lorcana Tournament Season 6 R1 Week 3 - 12/17,https://melee.gg/Tournament/View/165089,"415 E Dover StEaston, MD 21601US",https://www.google.com/maps/dir/?api=1&destination=415%20E%20Dover%20St%2C%20Easton%2C%20MD%2021601,Portals Games & Comics,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/17/2024 4:00 AM CEST,Lorcana Monday,https://melee.gg/Tournament/View/147736,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,Spellhold Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/15/2024 9:00 PM CEST,Azurite Sea League: Round 1 - Week 3,https://melee.gg/Tournament/View/164647,"1376 Old Bridge Rd#102Woodbridge, VA 22192US",https://www.google.com/maps/dir/?api=1&destination=1376%20Old%20Bridge%20Rd%2C%20Woodbridge%2C%20VA%2022192,Born 2 Game,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/15/2024 8:00 PM CEST,Vaughan Events - Sunday - Disney Lorcana! Challenge,https://melee.gg/Tournament/View/167345,"7700 Keele StUnit 6BVaughan, ON L4K 2A1CA",https://www.google.com/maps/dir/?api=1&destination=7700%20Keele%20St%2C%20Vaughan%2C%20ON%20L4K%202A1,401 Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/15/2024 8:00 AM CEST,Lorcana Animecon,https://melee.gg/Tournament/View/146488,"Tabasco 636 centroedificioobregon, Son. 85000MX",https://www.google.com/maps/dir/?api=1&destination=Tabasco%20636%20centro%2C%20obregon%2C%20Son.%2085000,Shoppuotakuzon,Registration,Open Registration,,2,"['Free Form', 'Disney Lorcana', 'Weekly Play']"
